sgID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
PRPF4B_+_4021605.23-P1P2|PRPF4B_+_4021634.23-P1P2++PRPF4B_+_4021605.23-P1P2|PRPF4B_+_4021634.23-P1P2	2514.31921295423	1.89349449729233	0.25469730238116	7.4342934910974	1.05128323361835e-13	5.54315367006114e-11	PRPF4B
TSR2_-_54466860.23-P1P2|TSR2_-_54467042.23-P1P2++TSR2_-_54466860.23-P1P2|TSR2_-_54467042.23-P1P2	1531.83858008258	2.5325713929579	0.344239069959904	7.35701323284684	1.88070712279868e-13	9.674632665109e-11	TSR2
GINS2_+_85722546.23-P1P2|GINS2_-_85722508.23-P1P2++GINS2_+_85722546.23-P1P2|GINS2_-_85722508.23-P1P2	1435.50918888417	2.51997058954956	0.342833066928684	7.35043037745761	1.97569669285602e-13	9.92129022595864e-11	GINS2
LIN52_-_74551706.23-P1P2|LIN52_+_74551686.23-P1P2++LIN52_-_74551706.23-P1P2|LIN52_+_74551686.23-P1P2	796.423151204737	3.36870243309957	0.460147285353945	7.32092210542623	2.46272769243148e-13	1.20793929676913e-10	LIN52
TEX10_+_103115177.23-P1P2|TEX10_+_103115133.23-P1P2++TEX10_+_103115177.23-P1P2|TEX10_+_103115133.23-P1P2	2841.24113565565	1.71473073657939	0.238152630742429	7.20013350780046	6.01536311730467e-13	2.88340962516074e-10	TEX10
RPLP1_+_69745416.23-P1P2|RPLP1_-_69745147.23-P1P2++RPLP1_+_69745416.23-P1P2|RPLP1_-_69745147.23-P1P2	1207.04800336579	2.83340328699057	0.394878350420396	7.17538270703894	7.21051937908224e-13	3.37949031609386e-10	RPLP1
ATP11B_+_182511382.23-P1P2|ATP11B_-_182511533.23-P1P2++ATP11B_+_182511382.23-P1P2|ATP11B_-_182511533.23-P1P2	7463.18037728158	1.00771579607305	0.141115670334559	7.14106231918784	9.2612348442899e-13	4.15592987448762e-10	ATP11B
NOP16_+_175815576.23-P1P2|NOP16_+_175815510.23-P1P2++NOP16_+_175815576.23-P1P2|NOP16_+_175815510.23-P1P2	1099.80096200556	2.60855536201468	0.365194437803102	7.14292193963016	9.13675190442133e-13	4.15592987448762e-10	NOP16
DDX55_+_124086731.23-P1P2|DDX55_-_124086680.23-P1P2++DDX55_+_124086731.23-P1P2|DDX55_-_124086680.23-P1P2	7079.21983860146	1.13605630795587	0.159277699389258	7.13255096169781	9.85255791010039e-13	4.32917289337349e-10	DDX55
RPS7_-_3622944.23-P1P2|RPS7_-_3622948.23-P1P2++RPS7_-_3622944.23-P1P2|RPS7_-_3622948.23-P1P2	1103.76607487471	2.92930174082247	0.416957635881053	7.02541814501777	2.13426104860939e-12	9.18646934208583e-10	RPS7
TWISTNB_+_19748588.23-P1P2|TWISTNB_+_19748599.23-P1P2++TWISTNB_+_19748588.23-P1P2|TWISTNB_+_19748599.23-P1P2	3249.92962533489	1.70521155430456	0.243175811906999	7.01225808986592	2.34502101231034e-12	9.89176763412747e-10	TWISTNB
FAM127C_+_134156481.23-P1P2|FAM127C_+_134156537.23-P1P2++FAM127C_+_134156481.23-P1P2|FAM127C_+_134156537.23-P1P2	2396.17946186581	-2.04959393373702	0.292832745556333	-6.99919652033155	2.57434556825899e-12	1.0646180858853e-09	FAM127C
ABCF1_+_30539238.23-P1|ABCF1_+_30539469.23-P1++ABCF1_+_30539238.23-P1|ABCF1_+_30539469.23-P1	2366.43267665216	1.7510991714379	0.251290711420934	6.9684198096151	3.20520587498567e-12	1.30001917517928e-09	ABCF1
TAF12_+_28969568.23-P1P2|TAF12_+_28969521.23-P1P2++TAF12_+_28969568.23-P1P2|TAF12_+_28969521.23-P1P2	1166.74239143873	2.39338913313202	0.344159926166369	6.95429348731043	3.54333269823601e-12	1.41004584789614e-09	TAF12
TMA16_+_164416208.23-P1P2|TMA16_+_164416318.23-P1P2++TMA16_+_164416208.23-P1P2|TMA16_+_164416318.23-P1P2	1690.01889737316	2.14957710746661	0.310063520535668	6.93269915710493	4.12885665396407e-12	1.6126243646066e-09	TMA16
RPP30_+_92631924.23-P1P2|RPP30_-_92631746.23-P1P2++RPP30_+_92631924.23-P1P2|RPP30_-_92631746.23-P1P2	1794.84838591456	2.34509056580403	0.34001308705308	6.89705971652184	5.30898694269528e-12	2.03585170197066e-09	RPP30
NAA15_-_140222716.23-P1P2|NAA15_-_140222868.23-P1P2++NAA15_-_140222716.23-P1P2|NAA15_-_140222868.23-P1P2	2944.76167866538	1.81621153130928	0.26405893989956	6.87805355880058	6.0675860222593e-12	2.28520458563341e-09	NAA15
UTP11L_-_38478438.23-P1P2|UTP11L_-_38478424.23-P1P2++UTP11L_-_38478438.23-P1P2|UTP11L_-_38478424.23-P1P2	3077.47089103762	1.85969603175629	0.271241147421983	6.85624599892679	7.06936017382243e-12	2.615787288177e-09	UTP11L
RPS19_-_42364369.23-P1P2|RPS19_+_42364314.23-P1P2++RPS19_-_42364369.23-P1P2|RPS19_+_42364314.23-P1P2	1766.29237362365	2.38305547716711	0.348199193320472	6.84394313048801	7.704251624418e-12	2.80155812087241e-09	RPS19
UTP20_+_101674131.23-P1P2|UTP20_-_101674128.23-P1P2++UTP20_+_101674131.23-P1P2|UTP20_-_101674128.23-P1P2	3117.44765775376	1.53715804368399	0.226136220129947	6.79748711993452	1.06459663281609e-11	3.80566230215663e-09	UTP20
RAD51C_+_56769980.23-P1P2|RAD51C_+_56770199.23-P1P2++RAD51C_+_56769980.23-P1P2|RAD51C_+_56770199.23-P1P2	1628.74682827991	2.62338002184726	0.387385420057226	6.7720153780174	1.27000636183281e-11	4.46428402956929e-09	RAD51C
ACTB_-_5570191.23-P1P2|ACTB_+_5570130.23-P1P2++ACTB_-_5570191.23-P1P2|ACTB_+_5570130.23-P1P2	2109.4703745063	1.88738764303268	0.280712396760593	6.72356356474827	1.77333069017611e-11	6.13136353877122e-09	ACTB
LEMD3_+_65563441.23-P1P2|LEMD3_-_65563622.23-P1P2++LEMD3_+_65563441.23-P1P2|LEMD3_-_65563622.23-P1P2	1922.67346435706	1.79872168794725	0.268778715880811	6.69220284817823	2.19835837915336e-11	7.47831880237474e-09	LEMD3
MED30_+_118533216.23-P1P2|MED30_-_118533205.23-P1P2++MED30_+_118533216.23-P1P2|MED30_-_118533205.23-P1P2	1387.23699553564	2.16645357838465	0.32474483187531	6.67124882595972	2.53635758330701e-11	8.49116155389335e-09	MED30
MPHOSPH10_-_71357812.23-P1P2|MPHOSPH10_-_71357866.23-P1P2++MPHOSPH10_-_71357812.23-P1P2|MPHOSPH10_-_71357866.23-P1P2	1439.26730251134	2.59420748256884	0.389125971163622	6.66675491952195	2.6152125750401e-11	8.61835131565168e-09	MPHOSPH10
PPAN_-_10217074.23-P1P2|PPAN_-_10217084.23-P1P2++PPAN_-_10217074.23-P1P2|PPAN_-_10217084.23-P1P2	1651.25518626428	1.93236725975079	0.29122075111828	6.63540373524398	3.23615515390463e-11	1.0500576669385e-08	PPAN
DRAP1_-_65686955.23-P1P2|DRAP1_-_65686753.23-P1P2++DRAP1_-_65686955.23-P1P2|DRAP1_-_65686753.23-P1P2	17382.5776648574	0.752979473855536	0.113570031673074	6.63008949423459	3.3548340665019e-11	1.07207280752411e-08	DRAP1
RPL5_+_93297664.23-P1P2|RPL5_-_93297968.23-P1P2++RPL5_+_93297664.23-P1P2|RPL5_-_93297968.23-P1P2	1601.80624739788	2.76085279540012	0.418323299224513	6.59980641890659	4.11694995043663e-11	1.29597897618894e-08	RPL5
RCL1_+_4792990.23-P1P2|RCL1_-_4792974.23-P1P2++RCL1_+_4792990.23-P1P2|RCL1_-_4792974.23-P1P2	1887.79407162541	1.92861592179811	0.292443706089192	6.5948279331746	4.25749349973914e-11	1.32051169710292e-08	RCL1
RPL30_+_99057726.23-P1P2|RPL30_+_99057534.23-P1P2++RPL30_+_99057726.23-P1P2|RPL30_+_99057534.23-P1P2	1535.45377041148	2.60092239698185	0.394849506855658	6.58712332628708	4.48429795400962e-11	1.37070040794227e-08	RPL30
EIF3G_-_10230531.23-P1P2|EIF3G_-_10230310.23-P1P2++EIF3G_-_10230531.23-P1P2|EIF3G_-_10230310.23-P1P2	429.256902471564	4.81290903241363	0.731611320463395	6.57850541372868	4.75200574290233e-11	1.43177933033647e-08	EIF3G
ESPL1_-_53662296.23-P1P2|ESPL1_-_53662083.23-P1P2++ESPL1_-_53662296.23-P1P2|ESPL1_-_53662083.23-P1P2	1014.17173517537	2.73970648561177	0.41687138672716	6.57206652421287	4.96216821971634e-11	1.4740435200287e-08	ESPL1
POLD3_+_74303696.23-P1P2|POLD3_-_74303671.23-P1P2++POLD3_+_74303696.23-P1P2|POLD3_-_74303671.23-P1P2	1641.66898971273	1.97492109824909	0.30493767369193	6.47647460000072	9.38904129733388e-11	2.75033708336207e-08	POLD3
RRS1_+_67341292.23-P1P2|RRS1_+_67341681.23-P1P2++RRS1_+_67341292.23-P1P2|RRS1_+_67341681.23-P1P2	2142.90434112168	1.61936780477256	0.250252218716877	6.47094284748233	9.73932702475961e-11	2.81386501752335e-08	RRS1
RPL37_-_40835245.23-P1P2|RPL37_-_40835249.23-P1P2++RPL37_-_40835245.23-P1P2|RPL37_-_40835249.23-P1P2	2138.55539916105	2.04574781161844	0.31678004690109	6.45794402656048	1.06134980187288e-10	3.02499036098661e-08	RPL37
FAU_-_64889639.23-P1P2|FAU_-_64889592.23-P1P2++FAU_-_64889639.23-P1P2|FAU_-_64889592.23-P1P2	1532.60462308084	2.50517595144455	0.388151947044812	6.45411151616696	1.08855633750736e-10	3.0611655619157e-08	FAU
DIMT1_+_61699702.23-P1P2|DIMT1_+_61699669.23-P1P2++DIMT1_+_61699702.23-P1P2|DIMT1_+_61699669.23-P1P2	2679.33030094322	1.87781850305909	0.292936483292279	6.41032650475798	1.45208316015806e-10	4.02972183301233e-08	DIMT1
MED9_-_17380350.23-P1P2|MED9_-_17380394.23-P1P2++MED9_-_17380350.23-P1P2|MED9_-_17380394.23-P1P2	666.088158536042	3.04843699852629	0.476504186155119	6.3975030799287	1.57938295905238e-10	4.32607350511348e-08	MED9
TUBGCP4_-_43663451.23-P1P2|TUBGCP4_+_43663480.23-P1P2++TUBGCP4_-_43663451.23-P1P2|TUBGCP4_+_43663480.23-P1P2	1702.47344260827	1.93458910488578	0.302660264592763	6.3919494271533	1.63784073902451e-10	4.4286793624059e-08	TUBGCP4
POLA2_-_65029495.23-P1P2|POLA2_-_65029809.23-P1P2++POLA2_-_65029495.23-P1P2|POLA2_-_65029809.23-P1P2	1042.41900644369	2.54186742675816	0.398114026198894	6.38477235034231	1.71652630786383e-10	4.58269067837418e-08	POLA2
PDXK_-_45139394.23-P1P2|PDXK_+_45139466.23-P1P2++PDXK_-_45139394.23-P1P2|PDXK_+_45139466.23-P1P2	6527.47853395722	1.00526606093552	0.157506469159966	6.38237950667635	1.74357208067749e-10	4.59670984419612e-08	PDXK
RAD51_+_40987418.23-P1P2|RAD51_+_40987382.23-P1P2++RAD51_+_40987418.23-P1P2|RAD51_+_40987382.23-P1P2	904.839545262144	3.25093447063083	0.510042869740538	6.37384554024763	1.84346257755768e-10	4.80005792879865e-08	RAD51
DTL_+_212209345.23-P1P2|DTL_-_212209126.23-P1P2++DTL_+_212209345.23-P1P2|DTL_-_212209126.23-P1P2	1767.4309501793	1.97319752858892	0.310463426818717	6.35565209341419	2.07544280346512e-10	5.33819075218084e-08	DTL
POP5_+_121019173.23-P1P2|POP5_-_121019190.23-P1P2++POP5_+_121019173.23-P1P2|POP5_-_121019190.23-P1P2	937.453247980981	2.55511354890487	0.404323227143259	6.31948247682428	2.62440704037395e-10	6.66883962512373e-08	POP5
KCNG2_+_77623819.23-P1P2|KCNG2_-_77624003.23-P1P2++KCNG2_+_77623819.23-P1P2|KCNG2_-_77624003.23-P1P2	1540.83785786155	1.85898668195118	0.296320119245952	6.27357564070155	3.52849385404388e-10	8.85945998519518e-08	KCNG2
POP1_-_99129573.23-P1P2|POP1_-_99129576.23-P1P2++POP1_-_99129573.23-P1P2|POP1_-_99129576.23-P1P2	3137.44530820426	1.32678885802428	0.21217134091209	6.25338395054029	4.01653050388868e-10	9.96619351264896e-08	POP1
PHF5A_+_41864653.23-P1P2|PHF5A_+_41864661.23-P1P2++PHF5A_+_41864653.23-P1P2|PHF5A_+_41864661.23-P1P2	1172.7004523998	2.38005733837674	0.381344847706711	6.24122065025832	4.34169273090017e-10	1.06477489985367e-07	PHF5A
CEBPZ_+_37458499.23-P1P2|CEBPZ_+_37458694.23-P1P2++CEBPZ_+_37458499.23-P1P2|CEBPZ_+_37458694.23-P1P2	2914.17630640699	1.48005905868316	0.237366052987209	6.23534427125061	4.50785600078499e-10	1.09281828635122e-07	CEBPZ
DDX10_+_108535803.23-P1P2|DDX10_-_108536148.23-P1P2++DDX10_+_108535803.23-P1P2|DDX10_-_108536148.23-P1P2	1550.90497287947	1.93139011776674	0.311268614232568	6.204898372194	5.47322601537821e-10	1.3117705669357e-07	DDX10
RBX1_-_41347436.23-P1P2|RBX1_+_41347427.23-P1P2++RBX1_-_41347436.23-P1P2|RBX1_+_41347427.23-P1P2	1706.38904696827	1.81908929766929	0.295046111634571	6.16544067498955	7.02871184601874e-10	1.66564675892563e-07	RBX1
FBL_+_40336946.23-P1P2|FBL_-_40336975.23-P1P2++FBL_+_40336946.23-P1P2|FBL_-_40336975.23-P1P2	498.745421170193	3.38409553047559	0.552008711304526	6.13051109733066	8.75972065184957e-10	2.05279186964621e-07	FBL
NMD3_-_160939520.23-P1P2|NMD3_-_160939105.23-P1P2++NMD3_-_160939520.23-P1P2|NMD3_-_160939105.23-P1P2	1067.54686720534	2.23567623047866	0.365199348199666	6.12179688025166	9.25259272234245e-10	2.14446629787829e-07	NMD3
NCAPG_-_17812596.23-P1P2|NCAPG_-_17812684.23-P1P2++NCAPG_-_17812596.23-P1P2|NCAPG_-_17812684.23-P1P2	1629.91614451048	2.10608366311684	0.344428219126841	6.11472448005556	9.67239277980605e-10	2.21739604477054e-07	NCAPG
NOL6_-_33473848.23-P1P2|NOL6_+_33473879.23-P1P2++NOL6_-_33473848.23-P1P2|NOL6_+_33473879.23-P1P2	1099.5850639148	2.79633502405864	0.457625467921074	6.11053190890355	9.92996204480711e-10	2.25196590846265e-07	NOL6
HGSNAT_+_42996023.23-P1P2|HGSNAT_-_42996031.23-P1P2++HGSNAT_+_42996023.23-P1P2|HGSNAT_-_42996031.23-P1P2	6124.34927875608	1.12726716918942	0.184997692208511	6.09341206223737	1.1052906375539e-09	2.45540967668704e-07	HGSNAT
RPL36_+_5690269.23-P1P2|RPL36_+_5690349.23-P1P2++RPL36_+_5690269.23-P1P2|RPL36_+_5690349.23-P1P2	732.432503590925	3.05705902158969	0.501707355557515	6.09331114588219	1.10598795355966e-09	2.45540967668704e-07	RPL36
RPSA_-_39448290.23-P1P2|RPSA_-_39448255.23-P1P2++RPSA_-_39448290.23-P1P2|RPSA_-_39448255.23-P1P2	668.612342280297	2.82947393950543	0.464676324768537	6.08912868740372	1.13526840153138e-09	2.47198002447731e-07	RPSA
SSRP1_-_57102976.23-P1P2|SSRP1_-_57103355.23-P1P2++SSRP1_-_57102976.23-P1P2|SSRP1_-_57103355.23-P1P2	1529.66092883627	1.97819985260558	0.324886257861006	6.08889974488211	1.13689280913328e-09	2.47198002447731e-07	SSRP1
SKIL_-_170075518.23-P1P2|SKIL_-_170075556.23-P1P2++SKIL_-_170075518.23-P1P2|SKIL_-_170075556.23-P1P2	5366.91285919688	0.997216093605414	0.16398354605364	6.0811960565801	1.19289320774462e-09	2.56727659638182e-07	SKIL
RPL10_-_153626730.23-P1P2|RPL10_-_153626735.23-P1P2++RPL10_-_153626730.23-P1P2|RPL10_-_153626735.23-P1P2	722.190720909626	2.83775018824958	0.466894394442902	6.07792730438664	1.21745921578695e-09	2.59368003233965e-07	RPL10
CPSF4_-_99036611.23-P1P2|CPSF4_-_99036577.23-P1P2++CPSF4_-_99036611.23-P1P2|CPSF4_-_99036577.23-P1P2	1966.14971950322	1.82189532188092	0.299966708385571	6.07365841258321	1.25028540301925e-09	2.63697694350791e-07	CPSF4
DDX20_-_112298588.23-P1P2|DDX20_-_112298555.23-P1P2++DDX20_-_112298588.23-P1P2|DDX20_-_112298555.23-P1P2	1613.62091810419	2.09641835285468	0.346342918188237	6.05301348103579	1.4216096532363e-09	2.96863061350561e-07	DDX20
KIF18A_+_28129677.23-P1P2|KIF18A_+_28129657.23-P1P2++KIF18A_+_28129677.23-P1P2|KIF18A_+_28129657.23-P1P2	525.809522530814	3.24513832486275	0.536877090980047	6.04447159207126	1.49900461689402e-09	3.09955944852077e-07	KIF18A
SLC18A2_+_119001067.23-P1P2|SLC18A2_-_119000707.23-P1P2++SLC18A2_+_119001067.23-P1P2|SLC18A2_-_119000707.23-P1P2	5355.79578848199	1.29274244595923	0.213988216020108	6.04118521104802	1.52986242717409e-09	3.13265324772124e-07	SLC18A2
UBA52_-_18682701.23-P1|UBA52_+_18682887.23-P1++UBA52_-_18682701.23-P1|UBA52_+_18682887.23-P1	1090.59691908519	2.83884883388407	0.471699480649545	6.01834208079875	1.76212504739057e-09	3.57355570908794e-07	UBA52
