baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneSymbol,gene_type,line
2720.20404041555,-2.22900910326765,0.0698086253374469,-31.930282146266,1.01480059361077e-223,5.30453918986325e-221,HPGD,protein_coding,RT112
2316.75128321455,-2.39637391046346,0.0750917111180002,-31.9126289011815,1.78382752857783e-223,9.12598572864978e-221,PTGS2,protein_coding,RT112
7140.45650370259,-1.96427505369154,0.0615597625330365,-31.9084248032535,2.04019995748301e-223,1.02201266620165e-220,CAV1,protein_coding,RT112
3285.69680876918,-2.38430994375811,0.0750116993562543,-31.7858409317494,1.0157873885059899e-221,4.98461382788298e-219,PPP1R15A,protein_coding,RT112
1825.01603125392,-2.87056313389143,0.090361899933295,-31.76740568769,1.8258632297006298e-221,8.780576271630331e-219,C1orf116,protein_coding,RT112
1504.90484860887,-2.82229908327954,0.0891928016336463,-31.6426777899853,9.56295913623007e-220,4.508653969228469e-217,SEMA3B,protein_coding,RT112
9252.60763523619,-11.9700139626918,0.37863881747322,-31.6132773775588,2.42568855666265e-219,1.12164771817218e-216,H19,processed_transcript,RT112
770.630261632311,-3.88768046974496,0.123848758289032,-31.3905486292571,2.7231736245495597e-216,1.2354473547602699e-213,HEG1,protein_coding,RT112
847.285781770116,-4.6836373451258,0.150336831489377,-31.1542906600153,4.436831751088439e-213,1.9756225824985502e-210,CHAC1,protein_coding,RT112
1347.52202824911,-2.72126466575407,0.0875110939710847,-31.0962249729528,2.70885668114512e-212,1.1842628890569899e-209,OLR1,protein_coding,RT112
1572.21022821816,-2.4207165282512,0.0790843237499996,-30.609309322838,9.20236505152154e-206,3.9512654939970604e-203,DUSP10,protein_coding,RT112
1666.28743334017,-2.63193228177477,0.0870096621120156,-30.2487358057596,5.4208849719098005e-201,2.2867575289398404e-198,RHOU,protein_coding,RT112
899.677243794018,3.21935157596152,0.10672341274473,30.1653732125475,6.74341232914329e-200,2.79560947334915e-197,STMN3,protein_coding,RT112
1276.28681371437,-2.6975525312127,0.0895690420328471,-30.1170188939103,2.9009513363077e-199,1.18226059121218e-196,HBEGF,protein_coding,RT112
9338.77899951446,-1.74977426572864,0.0586180613405223,-29.8504287878766,8.66696886022922e-196,3.47328777073686e-193,TGFBI,protein_coding,RT112
15649.6290187123,-2.12599966646026,0.0713057810242852,-29.8152497023515,2.47837375032917e-195,9.76926177486311e-193,PTGES,protein_coding,RT112
727.255603967359,-4.70788088953312,0.158133846767767,-29.7714941219828,9.14030927854461e-195,3.5448183323000796e-192,STC2,protein_coding,RT112
2549.41409587335,2.53928281691598,0.0853451311436356,29.7531069773901,1.58086041646285e-194,6.03361725616654e-192,PLAT,protein_coding,RT112
1935.69817735988,-2.58442671544975,0.0872145552114411,-29.632974784818,5.621007739320819e-193,2.11183017331202e-190,MDK,protein_coding,RT112
6766.0650939856,-2.15249686842948,0.0727042175615427,-29.6062173643149,1.24280531648106e-192,4.5974236668903e-190,FOSL2,protein_coding,RT112
827.741232058264,-2.96287303432532,0.101105066170922,-29.30489189648,8.98477208265737e-189,3.27331582920449e-186,CITED2,protein_coding,RT112
1210.51560826141,2.92514928868199,0.100212072366904,29.189589832772,2.62888909784093e-187,9.434572889191809e-185,ALDH1L1,protein_coding,RT112
1301.11402234532,-2.46574823008873,0.0845026670966417,-29.1795314255439,3.5270273297312797e-187,1.24716723740277e-184,TSC22D3,protein_coding,RT112
1216.43894399872,-2.61651489034745,0.0898103481996267,-29.1337796011164,1.34098711214404e-186,4.67304856688455e-184,SMOX,protein_coding,RT112
1178.20415430464,-2.61207757979059,0.0901148276544243,-28.9861019299453,9.849248452300409e-185,3.38321684336519e-182,SH3TC1,protein_coding,RT112
939.498339079211,-2.7990050711254,0.0967384917425499,-28.9337265932819,4.49695085043066e-184,1.5229462422338802e-181,ADM2,protein_coding,RT112
882.381301808729,-2.80335622202641,0.097144531615965,-28.8575813315847,4.0702748402035e-183,1.35930220184296e-180,OSMR,protein_coding,RT112
4212.81490462387,-1.85754633117721,0.0647194524378597,-28.7015149419061,3.65271356397646e-181,1.20314380336731e-178,FAM107B,protein_coding,RT112
1889.79684202309,-2.10346572131174,0.0733012857727594,-28.6961640459169,4.25979415454502e-181,1.38414527629777e-178,FGD3,protein_coding,RT112
1434.85627712032,-2.44810741957359,0.0854400129466772,-28.6529383030577,1.47346730903043e-180,4.7239361927515696e-178,ADM,protein_coding,RT112
611.579650218959,-3.60724273309931,0.125912380640368,-28.6488327418918,1.6576306261306702e-180,5.24443794806735e-178,TOR4A,protein_coding,RT112
51829.2260614868,-2.12557434741025,0.0744677016883884,-28.5435739148331,3.3752820801346696e-179,1.0540085404784198e-176,FABP4,protein_coding,RT112
