baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000144908.13	1210.51560826141	2.91900601522137	0.100350421240673	2.62888909784093e-187	9.62134172659066e-185	ALDH1L1	protein_coding
ENSG00000157514.16	1301.11402234532	-2.4606368467181	0.0845737191211745	3.52702732973128e-187	1.27185642871089e-184	TSC22D3	protein_coding
ENSG00000088826.17	1216.43894399872	-2.61094574436659	0.0899125447574499	1.34098711214404e-186	4.76555724302666e-184	SMOX	protein_coding
ENSG00000125089.16	1178.20415430464	-2.60646140884802	0.0901781290816193	9.84924845230041e-185	3.45019173284083e-182	SH3TC1	protein_coding
ENSG00000128165.8	939.498339079211	-2.79303048029445	0.0967934358773129	4.49695085043066e-184	1.55309481413254e-181	ADM2	protein_coding
ENSG00000145623.12	882.381301808729	-2.7972510449978	0.0971890193377821	4.0702748402035e-183	1.38621124106431e-180	OSMR	protein_coding
ENSG00000065809.13	4212.81490462387	-1.85415732798264	0.0647566323068748	3.65271356397646e-181	1.22696149729132e-178	FAM107B	protein_coding
ENSG00000127084.17	1889.79684202309	-2.09920280470156	0.0733487953781018	4.25979415454502e-181	1.41154611437295e-178	FGD3	protein_coding
ENSG00000148926.9	1434.85627712032	-2.44288109749481	0.0855026465944109	1.47346730903043e-180	4.81745225129804e-178	ADM	protein_coding
ENSG00000198113.2	611.579650218959	-3.59897072903856	0.125943743505237	1.65763062613067e-180	5.34825797149343e-178	TOR4A	protein_coding
ENSG00000170323.8	51829.2260614868	-2.12144194859619	0.0745302455475796	3.37528208013467e-179	1.07487392061016e-176	FABP4	protein_coding
ENSG00000163435.15	5569.54723791436	-1.81904454190064	0.064102138243912	4.81742016792638e-178	1.5144610248426e-175	ELF3	protein_coding
ENSG00000135821.18	8664.26107089895	-1.72355748016725	0.0607736919626772	8.35220534305385e-178	2.59246110401295e-175	GLUL	protein_coding
ENSG00000258545.5	796.058489339857	3.30298246299185	0.116937318897142	4.03314520008388e-177	1.23620941814071e-174	RHOXF1-AS1	antisense
ENSG00000163286.8	687.828767324348	-6.60463533277822	0.233040723901146	1.5562985699151e-176	4.7113576830726e-174	ALPPL2	protein_coding
ENSG00000177426.20	2606.40175874453	-2.19036086024258	0.0780898571848338	4.21621731839565e-174	1.26080323005341e-171	TGIF1	protein_coding
ENSG00000174938.14	2198.72160299913	2.1703777502646	0.077539329160633	1.57918427564246e-173	4.66544308711191e-171	SEZ6L2	protein_coding
ENSG00000198142.4	2344.68116481645	-1.99810082153026	0.0717507769607949	1.41295852379519e-171	4.12466142404546e-169	SOWAHC	protein_coding
ENSG00000268621.5	3647.88788755923	-2.21836239495929	0.0797471384535468	2.30326853360183e-171	6.64452326028828e-169	AC006262.5	lincRNA
ENSG00000168003.16	11958.999212137	-1.87419251804771	0.0676596653908928	1.10240959934213e-169	3.14327741691492e-167	SLC3A2	protein_coding
ENSG00000140044.12	864.388501426869	-3.74465825717633	0.135302442128496	3.18451983140913e-169	8.97558744666474e-167	JDP2	protein_coding
ENSG00000196352.15	2527.72045330216	-1.96581798792764	0.0711544190823221	6.49268080060015e-169	1.8091707489945e-166	CD55	protein_coding
ENSG00000135842.16	630.071368167893	-3.52526587771195	0.128205995476221	4.92748867499604e-167	1.35760617752335e-164	FAM129A	protein_coding
ENSG00000187908.17	637.275413596854	3.75046378021156	0.136278709750147	8.45500438453633e-167	2.3036129168135e-164	DMBT1	protein_coding
ENSG00000232677.6	593.956090141154	-6.32901754071375	0.231961417308731	1.17598386562828e-163	3.16882421638144e-161	AC092296.1	lincRNA
ENSG00000148346.11	3557.07694073498	2.15495655145027	0.0797078796054187	4.48922722302493e-162	1.19652544278037e-159	LCN2	protein_coding
ENSG00000134871.17	8673.38778856568	-1.99006373127892	0.0737628850456281	3.2542409959685e-161	8.58034875937027e-159	COL4A2	protein_coding
ENSG00000156535.13	522.595901653389	-5.62359033131627	0.208177441317731	4.62713381855534e-161	1.2070420038808e-158	CD109	protein_coding
ENSG00000118777.11	933.35566672286	-2.88327530895634	0.107301349714309	7.62469259186243e-160	1.96805354784272e-157	ABCG2	protein_coding
ENSG00000135919.12	1632.36338739506	2.23120388778096	0.0834412184957408	1.19077185502935e-158	3.0415538184557e-156	SERPINE2	protein_coding
ENSG00000152137.6	3017.05536522126	-1.86827728842921	0.0698451183290064	1.55823698624766e-158	3.93912671544113e-156	HSPB8	protein_coding
ENSG00000117394.21	9822.19813303966	-1.58924435408804	0.0596800693911955	5.17013248201048e-157	1.29364100603448e-154	SLC2A1	protein_coding
ENSG00000115963.13	3652.98839594779	-1.72059875518455	0.0646780334603718	9.0961385370381e-157	2.25299407138092e-154	RND3	protein_coding
ENSG00000198355.4	3745.94857762781	-2.06335978032276	0.0776277478388778	1.38464759657739e-156	3.39529437156742e-154	PIM3	protein_coding
ENSG00000157557.11	5177.52215280367	-1.64035061468576	0.0619341979926545	2.37505796136224e-155	5.76621745253104e-153	ETS2	protein_coding
ENSG00000176907.4	994.898580835769	-2.9030971629837	0.110214536938132	3.25718347413604e-154	7.83033293816566e-152	C8orf4	protein_coding
ENSG00000058668.14	2790.19708617889	-2.12637545899949	0.0808332071893301	2.19080917586856e-153	5.21561473800707e-151	ATP2B4	protein_coding
ENSG00000119986.6	2488.07521776614	-2.24467064436584	0.0855965335919859	1.26389676179392e-152	2.98000120153353e-150	AVPI1	protein_coding
ENSG00000142627.12	5909.02574253707	-1.68655255893524	0.0644221928048874	7.48780229292035e-152	1.74865142880667e-149	EPHA2	protein_coding
ENSG00000101577.9	999.743206766665	-2.65172351749846	0.101461487636746	1.99398924251027e-151	4.61269907694287e-149	LPIN2	protein_coding
ENSG00000112715.21	5054.56825407058	-1.60523773537329	0.0614556540518335	3.6996358669372e-151	8.47838982179133e-149	VEGFA	protein_coding
ENSG00000124212.5	655.329873731898	-2.9753951498115	0.114047527730637	5.24937253665354e-151	1.19185059232668e-148	PTGIS	protein_coding
ENSG00000047457.13	472.650564120448	4.76995278197219	0.18279618594705	7.77431345293421e-151	1.74893523100367e-148	CP	protein_coding
ENSG00000189057.10	1682.48776586627	2.16452904907817	0.083448989651938	4.64277604065202e-149	1.03495919357116e-146	FAM111B	protein_coding
ENSG00000184792.15	4408.8250433913	-1.8926564830588	0.0732355635397534	4.14712410821159e-148	9.16140813130237e-146	OSBP2	protein_coding
ENSG00000144476.5	1325.62105651567	-2.75422111263989	0.107267623135404	1.80716109842719e-146	3.95655332986903e-144	ACKR3	protein_coding
ENSG00000169908.11	452.445876557116	-4.32190165634707	0.169526262206164	1.196001228543e-144	2.59532266593831e-142	TM4SF1	protein_coding
ENSG00000035862.12	1583.28794141786	-2.0425382012739	0.080056690640661	1.66077400644476e-144	3.57226661509053e-142	TIMP2	protein_coding
ENSG00000136997.17	6240.25236028359	-1.476177991263	0.0578325173988953	2.02041495901282e-144	4.30805175738725e-142	MYC	protein_coding
ENSG00000134508.12	1176.72446855741	-2.32363960532801	0.091310277765185	9.7122588843163e-144	2.0530543112269e-141	CABLES1	protein_coding
ENSG00000162772.16	425.194483852886	-4.61614123139042	0.181747476103039	2.98209859619681e-143	6.24991792114033e-141	ATF3	protein_coding
