gene_id,gene_name,gene_biotype,BBN963_MP1_rep_1_cpm,BBN963_MP1_rep_1_count,BBN963_MP1_rep_2_cpm,BBN963_MP1_rep_2_count,BBN963_MP1_rep_3_cpm,BBN963_MP1_rep_3_count,UPPL1541_PARENTAL_rep_1_cpm,UPPL1541_PARENTAL_rep_1_count,UPPL1541_PARENTAL_rep_2_cpm,UPPL1541_PARENTAL_rep_2_count,UPPL1541_PARENTAL_rep_3_cpm,UPPL1541_PARENTAL_rep_3_count,UPPL1541_MP1_rep_1_cpm,UPPL1541_MP1_rep_1_count,UPPL1541_MP1_rep_2_cpm,UPPL1541_MP1_rep_2_count,UPPL1541_MP1_rep_3_cpm,UPPL1541_MP1_rep_3_count,BBN963_PARENTAL_rep_1_cpm,BBN963_PARENTAL_rep_1_count,BBN963_PARENTAL_rep_2_cpm,BBN963_PARENTAL_rep_2_count,BBN963_PARENTAL_rep_3_cpm,BBN963_PARENTAL_rep_3_count
ENSMUSG00000033004,Mycbp2,protein_coding,74.68089018367375,619.5,69.16183019290929,610.5,53.64188291987439,455.5,31.04261244134993,285.0,35.088901420450206,341.5,34.63407976423856,332.0,38.450847743384536,314.5,43.669698171333856,407.0,42.37170291768236,376.5,64.82598514143572,636.0,56.98975535966174,535.0,53.87380726350347,471.0
ENSMUSG00000033006,Sox10,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.10892144716263134,1.0,0.10274934530146473,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10192764959345241,1.0,0.0,0.0,0.11438175639809654,1.0
ENSMUSG00000033007,Asic4,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000033009,Ogfod1,protein_coding,19.52914319573067,162.0,17.672801818335543,156.0,17.90025511266939,152.0,34.31025585622887,315.0,33.855909276832634,329.5,37.242067698292665,357.0,35.08869094547333,287.0,33.90571160231326,316.0,29.823376555606444,265.0,25.07420179998929,246.0,21.730673071721487,204.0,21.04624317724976,184.0
ENSMUSG00000033014,Trim33,protein_coding,43.518646257152916,361.0,40.840032407115146,360.5,38.391336623225136,326.0,23.091346798477844,212.0,27.639573886094016,269.0,29.62674293085467,284.0,21.334413135836574,174.5,23.229704309812725,216.5,24.14005385350031,214.5,43.26828725242055,424.5,37.7623706074768,354.5,41.634959328907144,364.0
ENSMUSG00000033015,4933427E13Rik,lncRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000033016,Nfatc1,protein_coding,10.608423464347524,88.0,12.23501664346307,108.0,12.0120132992913,102.0,4.247936439342623,39.0,4.623720538565913,45.0,4.694378281297395,45.0,7.824655820593356,64.0,6.11590367510081,57.0,5.739593223909164,51.0,12.231317951214287,120.0,12.356657236861237,116.0,11.323793883411557,99.0
ENSMUSG00000033020,Polr2f,protein_coding,138.9944574362806,1153.0,141.49570173782752,1249.0,153.91864100170324,1307.0,232.43836824505527,2134.0,207.65642685426025,2021.0,186.21033849146335,1785.0,290.36808709233156,2375.0,270.601913484285,2522.0,263.2897715163822,2339.5,135.15606336091787,1326.0,129.31880935818572,1214.0,137.37248943411396,1201.0
ENSMUSG00000033021,Gmppa,protein_coding,13.863280663635969,115.0,16.653217098046955,147.0,13.542956170769605,115.0,13.506259448166286,124.0,16.028897867028498,156.0,17.00408133003279,163.0,17.60547559633505,144.0,16.416373022639014,153.0,18.344190107788112,163.0,17.42962808048036,171.0,16.61757352543408,156.0,15.670300626539227,137.0
ENSMUSG00000033022,Cdo1,protein_coding,0.3616507999209383,3.0,0.793010338002236,7.0,0.4710593450702471,4.0,0.0,0.0,0.0,0.0,0.312958552086493,3.0,0.12226024719677119,1.0,0.5364827785176149,5.0,0.11254104360606206,1.0,0.6115658975607143,6.0,0.745660350500247,7.0,0.6862905383885792,6.0
ENSMUSG00000033024,Klra9,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000033027,Klrc3,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000033029,1700088E04Rik,protein_coding,3.254857199288445,27.0,1.9258822494340013,17.0,2.119767052816112,18.0,0.7624501301384194,7.0,1.0274934530146476,10.0,0.938875656259479,9.0,0.7335614831806271,6.0,1.287558668442276,12.0,1.1254104360606205,10.0,1.6308423934952385,16.0,2.876118494786667,27.0,2.745162153554317,24.0
ENSMUSG00000033031,Cip2a,protein_coding,74.01786371715204,614.0,74.31639738992382,656.0,63.475246748215795,539.0,51.0841587192741,469.0,52.29941675844555,509.0,46.839463295611786,449.0,50.126701350676186,410.0,57.08176763427423,532.0,48.95535396863699,435.0,81.74597497394882,802.0,77.5486764520257,728.0,74.34814165876276,650.0
ENSMUSG00000033032,Afap1l1,protein_coding,0.3616507999209383,3.0,0.22657438228635313,2.0,0.3532945088026853,3.0,0.7624501301384194,7.0,0.9247441077131827,9.0,1.0431951736216434,10.0,0.0,0.0,0.21459311140704598,2.0,0.11254104360606206,1.0,0.30578294878035717,3.0,0.213045814428642,2.0,0.22876351279619309,2.0
ENSMUSG00000033033,Calhm2,protein_coding,9.644021331225023,80.0,10.082560011742714,89.0,7.536949521123954,64.0,16.065913456488122,147.5,18.700380844866583,182.0,16.58680326058413,159.0,11.981504225283578,98.0,14.377738464272081,134.0,15.530664017636562,138.0,11.415896754466669,112.0,11.71751979357531,110.0,11.89570266540204,104.0
ENSMUSG00000033036,Ppihl,protein_coding,9.583746197904865,79.5,8.307349726529138,73.33,9.391745692338052,79.75,7.714906102529177,70.83,6.285177452090598,61.17,8.189082112929901,78.5,9.83216907956434,80.42,11.247897934400314,104.83,10.260366945564678,91.17,8.885033215061245,87.17,8.397200775704924,78.83,8.845141222264804,77.33
ENSMUSG00000033039,Micall1,protein_coding,16.756487063003476,139.0,16.936435075904892,149.5,16.0160177323884,136.0,18.407724570484696,169.0,19.933372988484162,194.0,23.9934889932978,230.0,15.160270652399626,124.0,18.776897248116523,175.0,16.881156540909306,150.0,17.02191748210655,167.0,14.806684102790621,139.0,13.725810767771584,120.0
ENSMUSG00000033044,Dhrs7c,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000033047,Eif3l,protein_coding,169.31284949631927,1404.5,168.1748352520456,1484.5,170.641247751697,1449.0,279.9825799315439,2570.5,261.4970837922278,2545.0,262.9895032700163,2521.0,286.150108564043,2340.5,252.14690590327902,2350.0,263.8153381900225,2344.17,171.34037896659348,1681.0,163.88549274923287,1538.5,170.2572443985667,1488.5
ENSMUSG00000033053,Cfap95,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000033054,Npat,protein_coding,35.32122812561165,293.0,35.572178018957445,314.0,31.44321128343899,267.0,18.84341035913522,173.0,21.88561054921199,213.0,21.38550105924369,205.0,18.705817821105992,153.0,18.34771102530243,171.0,17.162509149924464,152.5,33.33034141705893,327.0,35.36560519515457,332.0,33.0563275990499,289.0
ENSMUSG00000033055,Ankrd54,protein_coding,19.770243729011295,164.0,19.258822494340016,170.0,17.075901258796456,145.0,41.93475715761306,385.0,42.22998091890201,411.0,41.31052887541708,396.0,52.69416654180838,431.0,48.390746622288866,451.0,43.215760744727824,384.0,13.760232695116073,135.0,17.150188061505684,161.0,14.412101306160164,126.0
ENSMUSG00000033059,Pygb,protein_coding,12.537227730592528,104.0,8.496539335738241,75.0,9.597834155806284,81.5,26.631293831263363,244.5,31.23580097164528,304.0,36.25103228335211,347.5,38.87875860857324,318.0,36.69542205060486,342.0,41.86526822145508,372.0,9.275416113004168,91.0,10.545767814217779,99.0,11.781320909003945,103.0
ENSMUSG00000033060,Lmo7,protein_coding,29.17316452695569,242.0,30.134392844084967,266.0,24.848380452455533,211.0,13.506259448166286,124.0,16.337145902932892,159.0,13.97881532653002,134.0,33.98834872070239,278.0,35.03232543720026,326.5,30.16099968642463,268.0,39.34407274307263,386.0,36.75040298894075,345.0,38.089124880566146,333.0
ENSMUSG00000033061,Resp18,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10431951736216434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10192764959345241,1.0,0.0,0.0,0.0,0.0
ENSMUSG00000033063,Cntnap3,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.10892144716263134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000033065,Pfkm,protein_coding,9.644021331225023,80.0,9.006331695882537,79.5,9.774481410207626,83.0,24.670707782336,226.5,26.612080433079367,259.0,29.209464861406012,280.0,22.19023486621397,181.5,21.62025597425988,201.5,23.070913939242722,205.0,11.364932929669942,111.5,12.143611422432596,114.0,12.010084421800135,105.0
ENSMUSG00000033066,Gas7,protein_coding,1.2055026664031279,10.0,1.2461591025749421,11.0,1.648707707745865,14.0,0.2178428943252627,2.0,0.5137467265073238,5.0,0.41727806944865736,4.0,0.0,0.0,0.0,0.0,0.3376231308181861,3.0,0.20385529918690481,2.0,0.0,0.0,0.45752702559238617,4.0
ENSMUSG00000033068,Entpd6,protein_coding,10.487873197707211,87.0,11.21543192317448,99.0,10.952129772883245,93.0,8.55033360226656,78.5,8.836443695925967,86.0,8.449880906335311,81.0,11.859243978086806,97.0,12.553697017312189,117.0,12.266973753060762,109.0,11.619752053653572,114.0,11.71751979357531,110.0,11.781320909003945,103.0
ENSMUSG00000033075,Senp1,protein_coding,42.13231819078931,349.5,39.537229708968624,349.0,35.32945088026853,300.0,49.99494424764779,459.0,48.60044032759282,473.0,52.26407819844433,501.0,58.07361741846631,475.0,56.43798830005309,526.0,54.69494719254616,486.0,42.4019022308762,416.0,39.89282875176322,374.5,39.80485122653759,348.0
ENSMUSG00000033080,Vsx1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000033082,Clec1a,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
