baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	gene_type
0.641941663777998	2.03454895195316	2.44064310553892	0.833611824414577	0.404499760262175	NA	RP5-865M20.1	processed_pseudogene
0.61957020402893	2.73027276229398	2.53520997300941	1.07694147284102	0.281506413531994	NA	SETSIP	protein_coding
6.97586692590907	-0.130839370333753	1.39674662814316	-0.0936743770827573	0.925367824883323	NA	GFI1	protein_coding
1.26882388070343	0.886743661123722	2.01212770510258	0.440699493811957	0.659430563099214	NA	SNORA66	snoRNA
6.00941685458268	0.177726583214093	1.45744082078741	0.121944288014434	0.90294314057213	NA	RP4-717I23.3	processed_transcript
0.686931189073218	1.72253039758056	2.37687806502541	0.724702887761366	0.46863432315748	NA	RP4-713B5.2	processed_pseudogene
1.45099199240068	1.86790273196871	2.02044989539146	0.924498418015363	0.355226874761292	NA	RP5-1033H22.2	antisense
2.71030988550822	-0.235102649794775	1.66311018987641	-0.141363242932356	0.887582990512718	NA	RP4-561L24.3	bidirectional_promoter_lncRNA
0.979193620648937	2.54320345597618	2.20685124564051	1.15241272423781	0.249151514732975	NA	ABCA4	protein_coding
0.245074033350583	3.97845985915858	3.88460677129136	1.02416025440743	0.305759588303557	NA	RP11-313A24.1	antisense
4.21043113861082	0.0279215894772334	1.53945515130744	0.0181373192025243	0.985529306423858	NA	TMEM56-RWDD3	protein_coding
0.954717395075035	1.80234540549805	2.19417327937771	0.821423459321871	0.411405105529955	NA	RP11-57H12.3	antisense
0.589436795922745	2.01407411783643	2.5297040410353	0.796169862231062	0.42593331212858	NA	RP11-57H12.5	antisense
0.843270312761898	2.00154359878902	2.29986464452236	0.870287563903444	0.384143273395646	NA	EEF1AL9	processed_pseudogene
0.599706705838113	3.07754998636852	2.65833993625917	1.15769617887894	0.246988043866136	NA	RP11-145D11.2	processed_pseudogene
0.522664177990166	2.21450608614603	2.5392540830351	0.872108900381917	0.383148971107136	NA	RP11-490G2.2	lincRNA
0.630203616292639	2.45938146118037	2.44286852848796	1.00675964854426	0.314050289998974	NA	RP11-234N17.1	processed_pseudogene
0.51855194996963	3.04160568549238	3.64246495753154	0.835040479717792	0.403694917050014	NA	PLPPR4	protein_coding
0.41543642378776	2.77452746921109	2.74390601209361	1.01115980539513	0.311939950182957	NA	RP5-884G6.2	antisense
1.12065375092335	1.12880170219592	2.10017515344812	0.537479790836791	0.590936240751804	NA	RP4-714D9.5	protein_coding
1.20809607822304	1.30946572924848	2.05971613131644	0.635750582004499	0.524939002022209	NA	LRRC39	protein_coding
0.290834974667549	3.25973953124131	3.86833612037767	0.842672257477733	0.399411766969994	NA	RP11-305E17.7	processed_pseudogene
7.11697359580002	2.10490678481848	1.48048330076788	1.42177002856211	NA	NA	RP11-305E17.6	antisense
0.247926084625595	3.28594625606166	3.16401322910948	1.03853745800756	0.299019905695511	NA	GPR88	protein_coding
0.488228472254623	2.4585668826982	2.62567163386231	0.93635733082194	0.349089239287188	NA	RP4-549L20.2	processed_pseudogene
0.662748756383739	2.25172203018543	2.417578846655	0.93139548821787	0.351649023867294	NA	RP11-421L21.2	antisense
0.506061899094107	2.09646783243793	3.18991079476778	0.657218325940849	0.51104054369544	NA	RP4-575N6.4	antisense
1.11118640830009	1.00822788462787	2.10840644065892	0.47819427278584	0.632511938467864	NA	RP11-556K13.1	processed_pseudogene
4.01958447725442	0.549962570297313	1.56993503459215	0.350309126288265	0.72610671689087	NA	RP11-364B6.2	transcribed_processed_pseudogene
0.287763824981615	3.55369627570247	3.13190958484518	1.13467396788791	0.256511948445173	NA	RP11-90H3.1	processed_pseudogene
0.273604429340823	3.05402740674872	3.86555303654161	0.790062218233346	0.429491433301696	NA	NTNG1	protein_coding
0.369298720067743	2.7311566633418	2.80535623086805	0.973550750271992	0.330279649983254	NA	RP11-270C12.3	processed_pseudogene
1.97424579184889	0.184788668281514	1.79517963668913	0.102936031862706	0.918013740290178	NA	VAV3	protein_coding
2.54279252564727	0.260397745673919	1.71324896987155	0.151990603965425	0.879194346501267	NA	RP11-20O24.4	processed_pseudogene
5.04650508068113	-0.00673708040441978	1.48598501299254	-0.00453374720842732	0.996382605492325	NA	RP5-1065J22.8	antisense
0.622375335286199	2.8529638177946	2.6479952702869	1.07740517885649	0.28129929148347	NA	RP5-1065J22.4	processed_pseudogene
0.899805693465399	1.31884278525386	2.22096164299279	0.593816101874095	0.552635118244404	NA	MYBPHL	protein_coding
1.29948932566694	0.989363040049434	2.05291740944778	0.481930269330983	0.629855482468498	NA	GPR61	protein_coding
3.12930132147516	0.105807349010987	1.63262399527936	0.0648081550417751	0.948326748318586	NA	RP5-1074L1.1	antisense
5.83522931664999	-0.394028256790644	1.44216620583597	-0.273219726822153	0.784684316860901	NA	RP11-225L12.2	processed_transcript
2.7586809902431	0.462965222517262	1.69620232641784	0.272942216448309	0.784897634080469	NA	SLC16A4	protein_coding
3.97872970235632	-0.509814661968664	1.56806144389836	-0.32512416139843	0.74508710331856	NA	RP5-1074L1.4	antisense
5.45762880932615	0.555446296277606	1.47528808224811	0.376500225929563	0.706545047553585	NA	RP11-96K19.4	sense_overlapping
6.18423171293909	-0.253983418685688	1.42612934507289	-0.178092835382128	0.858650068625967	NA	RP11-96K19.2	antisense
1.59212102594345	1.14460015868036	1.92294289749911	0.595233566305568	0.551687356025449	NA	RP11-96K19.5	antisense
1.19237569225352	1.04633654364597	2.16034594644994	0.484337494819014	0.628146370151627	NA	CHI3L2	protein_coding
2.17029739751816	0.132012994524633	1.77924015516707	0.0741962765067186	0.94085420860377	NA	PIFO	protein_coding
2.636549330712	0.438079416194374	1.71130376057066	0.255991616618835	0.79795731066024	NA	OVGP1	protein_coding
0.526742478978072	2.77278975100644	2.63289435165417	1.05313369268477	0.292279722863126	NA	RP11-552M11.8	sense_overlapping
1.20622002697965	1.44365786275656	2.07429536016009	0.695975072057789	0.486444441105287	NA	RP11-552M11.2	processed_pseudogene
