baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000174444.14	6940.58633336591	-0.386660854259688	0.0650835240233759	5.40056899373667e-10	4.88317182440665e-08	RPL4	protein_coding
ENSG00000107438.8	571.289421237789	-0.907380365052754	0.156918832070518	5.56661769263249e-10	4.99835880317626e-08	PDLIM1	protein_coding
ENSG00000127603.25	2824.05200027097	0.459340957706764	0.0772279145357941	5.9771443241749e-10	5.32996386976424e-08	MACF1	protein_coding
ENSG00000128272.14	1794.18435490661	-0.727380896049542	0.127227317617926	6.64625892481133e-10	5.88603615738428e-08	ATF4	protein_coding
ENSG00000101444.12	1494.83107766082	-0.575524263358977	0.0987828949166094	7.47676298145193e-10	6.57649968368527e-08	AHCY	protein_coding
ENSG00000122034.14	438.774732393265	-1.03655142904294	0.184291339391515	7.9297994199231e-10	6.92785854727066e-08	GTF3A	protein_coding
ENSG00000197157.10	1136.14225288023	0.558557842984825	0.0955470437199701	8.43595090289812e-10	7.32059363587065e-08	SND1	protein_coding
ENSG00000214279.13	18.1778971785507	5.83423943441222	1.03865554329444	9.90729894677527e-10	8.54009169212028e-08	SCART1	protein_coding
ENSG00000120694.19	1815.68520923889	-0.598692904653329	0.103832871673436	1.00278765724696e-09	8.58678437629354e-08	HSPH1	protein_coding
ENSG00000177469.12	6215.81304255281	-0.279147666734839	0.04683871646898	1.05411609867284e-09	8.96692181305252e-08	PTRF	protein_coding
ENSG00000099810.19	817.669179270369	0.718361089158966	0.126438053751456	1.12271493946605e-09	9.48804193940914e-08	MTAP	protein_coding
ENSG00000164619.8	63.7813625163773	2.25303224838819	0.395046630168228	1.17579595918625e-09	9.80841403372789e-08	BMPER	protein_coding
ENSG00000108953.16	5673.1328291499	-0.316596880222147	0.0537392765292207	1.17282179349755e-09	9.80841403372789e-08	YWHAE	protein_coding
ENSG00000160691.18	773.458318564886	-1.39833991918267	0.260649500999725	1.28009465349506e-09	1.06100153010841e-07	SHC1	protein_coding
ENSG00000196730.12	1425.92163139932	-0.916393587839561	0.160587692520606	1.36040926562331e-09	1.12038801302608e-07	DAPK1	protein_coding
ENSG00000111961.17	579.597099040798	0.763662223707973	0.135913398100527	1.80188220515637e-09	1.47457828561214e-07	SASH1	protein_coding
ENSG00000221878.12	43.8978119878925	3.62058436363947	0.68792143437824	1.96177385098311e-09	1.59532930145985e-07	PSG7	protein_coding
ENSG00000196924.15	8484.6256530286	0.309284458654224	0.0528092736134079	2.00383662564368e-09	1.6193504730983e-07	FLNA	protein_coding
ENSG00000197360.9	35.6891774765339	3.30863188651268	0.617391547737516	2.13933057540037e-09	1.71810834409483e-07	ZNF98	protein_coding
ENSG00000117592.8	2272.48370684902	-0.525307969815061	0.0938931568624124	2.58928416805156e-09	2.06663236375967e-07	PRDX6	protein_coding
ENSG00000214078.12	694.427754195682	-0.8568081616057	0.155800259487581	2.72409223075687e-09	2.16089034010346e-07	CPNE1	protein_coding
ENSG00000163235.15	1222.48768134202	0.872946697219367	0.161869426576757	3.12170049007793e-09	2.46119434979925e-07	TGFA	protein_coding
ENSG00000221968.8	461.503417593181	-0.86599235497268	0.159388655993434	3.23516878240211e-09	2.53519590039147e-07	FADS3	protein_coding
ENSG00000108679.12	496.517677828732	-1.94774988005962	0.350059638539704	3.42510896330914e-09	2.66787101780646e-07	LGALS3BP	protein_coding
ENSG00000008988.9	2420.3778906058	-0.383562236257324	0.0676677018800583	3.63935020182415e-09	2.81777234189139e-07	RPS20	protein_coding
ENSG00000180776.15	1245.84506698356	-0.622680327161721	0.112589029720319	3.78087396864563e-09	2.90992264372548e-07	ZDHHC20	protein_coding
ENSG00000196642.18	1241.96858933281	0.55977380870597	0.100952066758356	3.88261049810137e-09	2.97054164144679e-07	RABL6	protein_coding
ENSG00000189334.8	802.408065699472	-0.862049130574009	0.160303854559515	3.98100775712421e-09	3.0279076646833e-07	S100A14	protein_coding
ENSG00000104408.9	1923.44257515208	-0.497273322953899	0.0899979193846034	4.31159151232382e-09	3.26016831896766e-07	EIF3E	protein_coding
ENSG00000060982.14	837.48170828162	-1.11687689571663	0.205671777148425	4.56053130907801e-09	3.42835289688248e-07	BCAT1	protein_coding
ENSG00000136810.12	1788.24280540117	0.46540433188166	0.0840288106930647	5.41116307764304e-09	4.04429702855055e-07	TXN	protein_coding
ENSG00000168028.13	3251.40878833737	-0.342261285969318	0.0607082488142666	5.53060536792972e-09	4.10981191996157e-07	RPSA	protein_coding
ENSG00000167110.17	729.603516341541	0.715087427524061	0.132573390732737	6.00535289377048e-09	4.43709788094013e-07	GOLGA2	protein_coding
ENSG00000149571.11	94.3712644601728	2.03772768399185	0.391143942049558	6.19433751654206e-09	4.55072636868687e-07	KIRREL3	protein_coding
ENSG00000009694.13	43.2207068235192	2.75416932620091	0.506240770761666	6.28311143956345e-09	4.58986615330821e-07	TENM1	protein_coding
ENSG00000112655.15	321.230800791296	-1.02226820436203	0.194306161183864	7.47750426596849e-09	5.43169270556025e-07	PTK7	protein_coding
ENSG00000197956.9	2153.82276346344	-0.413678163767711	0.075132443838828	7.71110088511322e-09	5.57008572315721e-07	S100A6	protein_coding
ENSG00000079215.13	684.694067318472	-1.4288118144805	0.267477532546146	8.68790754824981e-09	6.24081358882611e-07	SLC1A3	protein_coding
ENSG00000100644.16	3748.0790740238	0.377508668709037	0.068050190955107	8.87450572375981e-09	6.33963309437648e-07	HIF1A	protein_coding
ENSG00000152234.15	1701.6890853399	-0.455696048424652	0.0836929863192647	9.61495340705297e-09	6.83084327215356e-07	ATP5A1	protein_coding
