baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000081923.12	4709.2077351251	-2.08052258794693	0.0602307807071211	2.38924054124036e-262	1.0559139970169e-259	ATP8B1	protein_coding
ENSG00000171401.14	40346.0873973135	-2.19534378942551	0.0644049183914239	1.25632889895938e-255	5.45314045482244e-253	KRT13	protein_coding
ENSG00000142657.20	17760.0655654261	1.85661175528922	0.0545475708650833	1.13764790078676e-254	4.85136974112698e-252	PGD	protein_coding
ENSG00000085741.12	1767.23855655356	-3.93736539274656	0.116566170652464	1.91782648585413e-251	8.03734627442352e-249	WNT11	protein_coding
ENSG00000135111.15	1457.90795176225	-3.30014635060535	0.0978035982403555	1.49231805108183e-250	6.14809743519424e-248	TBX3	protein_coding
ENSG00000105176.17	8446.5526781529	1.67102228270771	0.0496152244615937	1.79239098118361e-249	7.26127459660502e-247	URI1	protein_coding
ENSG00000120708.16	14510.3403280412	1.5441521580072	0.0459150716926682	1.09957270580829e-248	4.38152684591508e-246	TGFBI	protein_coding
ENSG00000183087.14	2242.10112172109	2.76529729397919	0.0823378195845478	3.23026680330625e-248	1.26642089012847e-245	GAS6	protein_coding
ENSG00000099331.13	19520.4767770274	1.510104353614	0.0450430537523922	4.10781000666627e-247	1.58489742590535e-244	MYO9B	protein_coding
ENSG00000022267.16	1351.21747284207	3.40687378080422	0.102533484864434	3.30098819077118e-243	1.2537049992668e-240	FHL1	protein_coding
ENSG00000161011.19	15524.3658045924	1.64116863238679	0.049624590659552	1.47039811394815e-240	5.49861030088272e-238	SQSTM1	protein_coding
ENSG00000150556.16	1802.15502259724	-2.56833740442173	0.0783799830656024	1.87252113058807e-236	6.89626835169761e-234	LYPD6B	protein_coding
ENSG00000044574.7	49744.3208487883	1.25715815682996	0.0384351683204043	3.34033215421092e-235	1.21184259212545e-232	HSPA5	protein_coding
ENSG00000173227.13	929.483913864211	4.41828914287296	0.136267582601831	6.26755414399893e-232	2.24037409673797e-229	SYT12	protein_coding
ENSG00000074211.13	930.65952702582	3.83748937795457	0.119499955320015	2.47315210040271e-227	8.71230552238967e-225	PPP2R2C	protein_coding
ENSG00000123159.15	14621.2238817647	-1.48638570018397	0.0467761921579027	1.39760807669131e-222	4.85309421716222e-220	GIPC1	protein_coding
ENSG00000165474.6	22310.490502707	-1.31343256268706	0.0415379243071854	4.31246196922148e-220	1.47638046599812e-217	GJB2	protein_coding
ENSG00000057019.15	7102.70205706933	1.49132004333081	0.0472108960826146	1.00748203507702e-219	3.40123136480792e-217	DCBLD2	protein_coding
ENSG00000123136.14	6074.72121142467	-1.61592167438989	0.0511884212537424	1.59556517118403e-219	5.31279487890003e-217	DDX39A	protein_coding
ENSG00000087086.14	35720.0889204042	1.24033222573504	0.0393548489336545	1.33465966907449e-218	4.38399629408023e-216	FTL	protein_coding
ENSG00000114812.12	2275.80082956157	2.45105587470163	0.0778583846987059	1.63454497065499e-218	5.29745128022812e-216	VIPR1	protein_coding
ENSG00000184678.10	1351.21788561223	2.7206078944233	0.0864578128222188	2.02996197619633e-218	6.49240602044794e-216	HIST2H2BE	protein_coding
ENSG00000128268.11	1517.59589089345	-3.15525702466132	0.100663136793419	1.05144471007267e-216	3.31915150230343e-214	MGAT3	protein_coding
ENSG00000001084.11	11725.8475735305	1.6312936426618	0.0521533541977389	9.00322889101524e-216	2.80566005966548e-213	GCLC	protein_coding
ENSG00000138771.15	2533.62049631246	2.1549877906135	0.068973311790404	2.64123900041693e-215	8.12665777001701e-213	SHROOM3	protein_coding
ENSG00000111348.8	5836.23894506223	-1.70072912832791	0.0544638962500225	6.69637386815961e-215	2.03460949516695e-212	ARHGDIB	protein_coding
ENSG00000091409.14	88696.3090925582	1.25321562981566	0.0401562023543917	2.08023717500605e-214	6.24250926084839e-212	ITGA6	protein_coding
ENSG00000120875.8	2135.53110092432	3.13876540295112	0.1007419505663	2.59285206231354e-214	7.68590915593355e-212	DUSP4	protein_coding
ENSG00000213965.3	4344.09373181231	1.86712815138608	0.0600260259502875	2.75866300837538e-213	8.07889418609403e-211	NUDT19	protein_coding
